cenario,repeticao,requisicoes,concorrencia,sucessos,erros,tempo_total_s,requisicoes_por_segundo,media_ms,mediana_ms,p95_ms,minimo_ms,maximo_ms,status_http
1 nó Laravel - concorrência 10,1,600,10,600,0,1.673578,358.513303,27.609199,26.252662,35.420718,11.430933,43.422819,200:600
1 nó Laravel - concorrência 10,2,600,10,600,0,1.707348,351.422137,28.067748,26.404477,36.280467,10.754639,48.324084,200:600
1 nó Laravel - concorrência 10,3,600,10,600,0,1.625209,369.183276,26.846175,25.559066,34.379059,11.057864,38.281361,200:600
2 nós Laravel - concorrência 10,1,600,10,600,0,0.929484,645.519541,15.279413,14.697247,21.593581,11.491618,27.815851,200:600
2 nós Laravel - concorrência 10,2,600,10,600,0,1.066712,562.476184,17.573150,17.348658,23.132088,10.853930,30.119026,200:600
2 nós Laravel - concorrência 10,3,600,10,600,0,0.946907,633.641909,15.582029,14.792649,21.430583,10.507604,24.807845,200:600
3 nós Laravel - concorrência 10,1,600,10,600,0,0.866115,692.748341,14.304863,14.047459,17.876823,10.955914,22.193344,200:600
3 nós Laravel - concorrência 10,2,600,10,600,0,0.829678,723.172411,13.680118,13.445901,16.406498,10.774241,25.402788,200:600
3 nós Laravel - concorrência 10,3,600,10,600,0,0.860261,697.462565,14.165713,13.798716,17.582664,11.009328,23.583428,200:600
1 nó Laravel - concorrência 30,1,600,30,600,0,1.590158,377.321055,77.465159,74.506850,98.185398,12.135396,102.042979,200:600
1 nó Laravel - concorrência 30,2,600,30,600,0,1.607597,373.227951,78.406367,75.543825,97.762123,11.415184,101.973390,200:600
1 nó Laravel - concorrência 30,3,600,30,600,0,1.618547,370.702892,78.924803,75.542451,99.655936,12.445553,104.069807,200:600
2 nós Laravel - concorrência 30,1,600,30,600,0,0.912802,657.316720,44.014515,44.165621,53.876604,16.033852,61.637973,200:600
2 nós Laravel - concorrência 30,2,600,30,600,0,1.073122,559.116118,51.847973,53.742063,60.837911,13.127645,64.301398,200:600
2 nós Laravel - concorrência 30,3,600,30,600,0,0.967798,619.964165,46.741167,45.176914,60.446801,12.553051,65.692408,200:600
3 nós Laravel - concorrência 30,1,600,30,600,0,0.783717,765.582001,37.918467,38.394560,45.923057,13.145405,49.373322,200:600
3 nós Laravel - concorrência 30,2,600,30,600,0,0.754038,795.716283,36.256805,37.168994,46.044495,13.556139,48.873629,200:600
3 nós Laravel - concorrência 30,3,600,30,600,0,0.720293,832.994261,34.754803,34.699070,44.014465,13.603813,48.392786,200:600
1 nó Laravel - concorrência 60,1,600,60,600,0,1.678300,357.504686,158.772548,151.501457,196.364098,11.915319,216.201934,200:600
1 nó Laravel - concorrência 60,2,600,60,600,0,1.668610,359.580802,157.756229,149.144429,199.318136,11.650511,204.183291,200:600
1 nó Laravel - concorrência 60,3,600,60,600,0,1.649064,363.842842,155.601749,148.877144,195.135108,12.410423,196.451364,200:600
2 nós Laravel - concorrência 60,1,600,60,600,0,0.951841,630.357195,88.635899,89.494941,111.017037,12.426568,116.338674,200:600
2 nós Laravel - concorrência 60,2,600,60,600,0,1.183346,507.037021,111.223879,118.424286,147.973755,12.175101,159.304829,200:600
2 nós Laravel - concorrência 60,3,600,60,600,0,0.957735,626.478409,89.206905,89.443081,111.859759,12.134451,120.042041,200:600
3 nós Laravel - concorrência 60,1,600,60,600,0,0.782821,766.458781,72.382652,76.041492,88.153886,13.722004,93.952844,200:600
3 nós Laravel - concorrência 60,2,600,60,600,0,0.761418,788.003250,69.552114,70.764935,87.647758,13.637478,95.554500,200:600
3 nós Laravel - concorrência 60,3,600,60,600,0,0.712144,842.525657,65.297396,66.216419,84.010918,12.606270,92.138470,200:600
